ts,symbol,event_type,last_px,last_sz,side,bid_px_1,bid_sz_1,ask_px_1,ask_sz_1,bid_px_2,bid_sz_2,ask_px_2,ask_sz_2,bid_px_3,bid_sz_3,ask_px_3,ask_sz_3,bid_px_4,bid_sz_4,ask_px_4,ask_sz_4,bid_px_5,bid_sz_5,ask_px_5,ask_sz_5,bid_px_6,bid_sz_6,ask_px_6,ask_sz_6,bid_px_7,bid_sz_7,ask_px_7,ask_sz_7,bid_px_8,bid_sz_8,ask_px_8,ask_sz_8,bid_px_9,bid_sz_9,ask_px_9,ask_sz_9,bid_px_10,bid_sz_10,ask_px_10,ask_sz_10
0,000001.SZ,quote,10.000837,2353,-1,9.988636,2328,10.013037,1643,9.978636,1339,10.023037,4967,9.968636,1212,10.033037,3956,9.958636,760,10.043037,744,9.948636,1267,10.053037,2291,9.938636,2405,10.063037,4639,9.928636,717,10.073037,2128,9.918636,4964,10.083037,3936,9.908636,2305,10.093037,4179,9.898636,2778,10.103037,553
100000000,000001.SZ,quote,10.002389,3562,1,9.989112,2776,10.015667,1773,9.979112,2263,10.025667,3257,9.969112,1337,10.035667,1259,9.959112,3612,10.045667,1292,9.949112,3440,10.055667,3317,9.939112,2666,10.065667,855,9.929112,4263,10.075667,4892,9.919112,1522,10.085667,3600,9.909112,1145,10.095667,2901,9.899112,3462,10.105667,2075
200000000,000001.SZ,quote,10.003617,1966,1,9.99125,1153,10.015983,2407,9.98125,1327,10.025983,3613,9.97125,2777,10.035983,4214,9.96125,3488,10.045983,1832,9.95125,3532,10.055983,3410,9.94125,2216,10.065983,2687,9.93125,1084,10.075983,1901,9.92125,4875,10.085983,2505,9.91125,1838,10.095983,4286,9.90125,3608,10.105983,2711
300000000,000001.SZ,quote,10.006554,4662,-1,9.989434,3156,10.023674,958,9.979434,2376,10.033674,762,9.969434,3084,10.043674,3786,9.959434,2693,10.053674,1042,9.949434,2228,10.063674,3077,9.939434,2241,10.073674,4589,9.929434,3741,10.083674,4258,9.919434,1670,10.093674,2669,9.909434,1643,10.103674,2520,9.899434,4915,10.113674,2652
400000000,000001.SZ,quote,10.008036,4880,1,9.992609,3465,10.023464,2296,9.982609,1633,10.033464,4674,9.972609,4542,10.043464,1244,9.962609,885,10.053464,1398,9.952609,1752,10.063464,1810,9.942609,3958,10.073464,1020,9.932609,3652,10.083464,3626,9.922609,4334,10.093464,4834,9.912609,2559,10.103464,594,9.902609,1438,10.113464,4898
500000000,000001.SZ,quote,10.009541,2886,-1,9.991393,2904,10.02769,4061,9.981393,1795,10.03769,4216,9.971393,526,10.04769,2657,9.961393,4600,10.05769,1963,9.951393,4658,10.06769,1371,9.941393,2944,10.07769,4658,9.931393,2129,10.08769,1752,9.921393,3563,10.09769,1823,9.911393,4918,10.10769,4844,9.901393,504,10.11769,3155
600000000,000001.SZ,quote,10.009473,3073,1,9.996578,2461,10.022368,974,9.986578,2473,10.032368,1145,9.976578,1201,10.042368,4481,9.966578,1066,10.052368,4863,9.956578,1530,10.062368,1551,9.946578,4393,10.072368,1852,9.936578,2671,10.082368,4822,9.926578,3966,10.092368,2235,9.916578,4917,10.102368,2147,9.906578,3053,10.112368,3768
700000000,000001.SZ,quote,10.012444,3688,1,9.995245,1491,10.029643,2530,9.985245,2340,10.039643,1024,9.975245,3269,10.049643,672,9.965245,2385,10.059643,2304,9.955245,558,10.069643,1081,9.945245,982,10.079643,2375,9.935245,1052,10.089643,757,9.925245,3206,10.099643,1080,9.915245,4711,10.109643,2449,9.905245,2781,10.119643,4476
800000000,000001.SZ,quote,10.010729,4777,1,9.997671,2490,10.023788,4374,9.987671,3834,10.033788,2059,9.977671,1272,10.043788,1294,9.967671,4031,10.053788,3402,9.957671,3969,10.063788,3867,9.947671,4325,10.073788,943,9.937671,1306,10.083788,996,9.927671,3798,10.093788,3279,9.917671,1395,10.103788,2536,9.907671,2069,10.113788,2058
900000000,000001.SZ,quote,10.010947,1603,1,9.997826,4289,10.024068,2546,9.987826,1117,10.034068,4130,9.977826,1302,10.044068,914,9.967826,4928,10.054068,620,9.957826,1264,10.064068,2436,9.947826,1862,10.074068,3829,9.937826,4478,10.084068,4443,9.927826,2251,10.094068,3785,9.917826,980,10.104068,1848,9.907826,3604,10.114068,517
1000000000,000001.SZ,quote,10.013859,3827,1,9.999737,3965,10.02798,4486,9.989737,1768,10.03798,2055,9.979737,2930,10.04798,2283,9.969737,979,10.05798,4941,9.959737,999,10.06798,3069,9.949737,968,10.07798,910,9.939737,4405,10.08798,4619,9.929737,4850,10.09798,1789,9.919737,965,10.10798,4660,9.909737,1156,10.11798,2022
1100000000,000001.SZ,quote,10.01127,2026,1,9.998726,1482,10.023814,2516,9.988726,825,10.033814,1171,9.978726,3934,10.043814,4782,9.968726,3091,10.053814,2636,9.958726,2173,10.063814,3073,9.948726,2455,10.073814,2675,9.938726,3742,10.083814,1572,9.928726,2957,10.093814,4245,9.918726,3090,10.103814,1094,9.908726,576,10.113814,4254
